mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22.973878622055054,10.834948101967417,1.0595360279083252,0.4169439288381143,1.318078594935307e-08,{'var_smoothing': np.float64(1.318078594935307e-08)},0.5884103988886684,0.5840444532645366,0.5954554475094265,0.5828826593897296,0.5997023071198214,0.5900990532344366,0.006519195030572762,10
1.6434402465820312,0.1300606863736883,0.28926892280578614,0.08622320991208782,0.028698379250004825,{'var_smoothing': np.float64(0.028698379250004825)},0.5397400277832903,0.5405338360785871,0.5408811272077794,0.5394194988836517,0.5395187298437112,0.5400186439594039,0.0005823772302993689,12
1.4956785678863525,0.16485453081104082,0.25933141708374025,0.03698530857096578,0.0001127024507259917,{'var_smoothing': np.float64(0.0001127024507259917)},0.5353740821591586,0.5352748561222465,0.5355229212145267,0.5341602580004962,0.5338625651203175,0.534838936523349,0.0006867528609381828,16
1.626734209060669,0.15226839595648337,0.30539555549621583,0.11237583178964466,3.8480732119896834e-06,{'var_smoothing': np.float64(3.8480732119896834e-06)},0.5353244691407025,0.5352252431037904,0.5356221472514388,0.5340114115604069,0.5339121806003473,0.5348190903313371,0.0007127550055419643,17
1.58695330619812,0.0557717088142007,0.259550142288208,0.037007116517356074,5.2024156190049353e-11,{'var_smoothing': np.float64(5.2024156190049353e-11)},0.945624131772177,0.9434907719785671,0.9574816431831713,0.9461672041677003,0.95053336641032,0.9486594235023871,0.004969553979836898,3
1.5021900177001952,0.07649777656619255,0.272553014755249,0.024338883756985178,5.199238306140414e-11,{'var_smoothing': np.float64(5.199238306140414e-11)},0.945624131772177,0.9434907719785671,0.9574816431831713,0.9461672041677003,0.95053336641032,0.9486594235023871,0.004969553979836898,3
1.755076026916504,0.2482549247460021,0.32857213020324705,0.08311262769765462,4.354313899755664e-12,{'var_smoothing': np.float64(4.354313899755664e-12)},0.9612522325858305,0.9603591982536217,0.9608057154197261,0.9610022326966013,0.958471843215083,0.9603782444341725,0.0009970633329450052,1
1.879500150680542,0.292723230432401,0.31407575607299804,0.11926041539163501,0.003372388529946304,{'var_smoothing': np.float64(0.003372388529946304)},0.5366144076205597,0.5374578289343124,0.5362671164913674,0.5360456462416274,0.5351525676010915,0.5363075133777917,0.0007512011725724088,14
2.0376676082611085,0.34928697255169566,0.2864941120147705,0.04813144979319916,4.095105824742615e-06,{'var_smoothing': np.float64(4.095105824742615e-06)},0.5353244691407025,0.5352252431037904,0.5356221472514388,0.5339617960803771,0.5338625651203175,0.5347992441393252,0.000736640046129534,18
1.9261306285858155,0.45921841608998043,0.3260635852813721,0.06376475877447979,6.148913105232166e-05,{'var_smoothing': np.float64(6.148913105232166e-05)},0.5353244691407025,0.5353244691407025,0.5356221472514388,0.5340114115604069,0.5337137186802282,0.5347992431546958,0.0007781950694803683,19
2.0739745616912844,0.3885876352342776,0.2832324028015137,0.12872039324684673,1.6843387386944855e-12,{'var_smoothing': np.float64(1.6843387386944855e-12)},0.9578289343123636,0.9589700337368525,0.9592677118475889,0.9586206896551724,0.9562887620937732,0.9581952263291502,0.001067740274637427,2
2.0617255210876464,0.200328192248924,0.317107629776001,0.11239691370712807,0.04666683782217584,{'var_smoothing': np.float64(0.04666683782217584)},0.5392438975987299,0.5395415757094661,0.5404346100416749,0.538278342842967,0.5396675762838006,0.5394332004953277,0.0006984311076481984,13
1.6665027618408204,0.23078674677679514,0.2704309940338135,0.065468473514266,0.0014350566608281141,{'var_smoothing': np.float64(0.0014350566608281141)},0.5359198253621751,0.5363663425282794,0.5357213732883509,0.5352517985611511,0.5343091044405854,0.5355136888361084,0.0007006722643770434,15
1.4937888622283935,0.22475556658697188,0.2837935447692871,0.051859662504474324,2.1663579511421756e-10,{'var_smoothing': np.float64(2.1663579511421756e-10)},0.9393728914467157,0.9366441754316333,0.9401666997420123,0.9394194988836517,0.9360456462416273,0.9383297823491279,0.0016558002694322602,7
1.8746556758880615,0.20544263919719044,0.25213046073913575,0.03464916263419363,1.0001718780584626e-10,{'var_smoothing': np.float64(1.0001718780584626e-10)},0.9399186346497321,0.93743798372693,0.9459714229013694,0.9407591168444555,0.9405606549243364,0.9409295626093647,0.0027856273359791973,5
1.5806971073150635,0.2427960077862499,0.25601654052734374,0.07675377920313044,1.0409973126822041e-10,{'var_smoothing': np.float64(1.0409973126822041e-10)},0.9395713435205398,0.9369914665608255,0.945574518753721,0.9404118084842471,0.9404118084842471,0.9405921891607161,0.0027891221419166536,6
1.9135246753692627,0.2196528482936966,0.27806458473205564,0.05018872014104744,2.2215938912352335e-09,{'var_smoothing': np.float64(2.2215938912352335e-09)},0.6133657471720579,0.611182774359992,0.6396606469537607,0.612056561647234,0.8131481022078889,0.6578827664681867,0.07836078794929226,9
1.8056170463562011,0.2990402276625243,0.25027313232421877,0.037236307712171936,5.919986930752452e-07,{'var_smoothing': np.float64(5.919986930752452e-07)},0.5352748561222465,0.5348779519745981,0.5354236951776146,0.5338625651203175,0.5336641032001984,0.534620634318995,0.0007250856470226483,20
1.568338394165039,0.12225944958282914,0.22083640098571777,0.021504701939070486,5.6415079575079687e-08,{'var_smoothing': np.float64(5.6415079575079687e-08)},0.539343123635642,0.5381027981742409,0.5410299662631475,0.5370379558422228,0.5559910692135946,0.5423009826257695,0.00697290594795409,11
1.4056717872619628,0.11150147815214263,0.26120219230651853,0.07086233160426038,1.5977931030670627e-09,{'var_smoothing': np.float64(1.5977931030670627e-09)},0.6474995038698155,0.6241813851954753,0.8538896606469537,0.6207392706524436,0.8902009426941205,0.7273021526117617,0.11909526962149761,8
